ID do Sistema Peça, ID do Sistema Subsídio, Status, Mensagem
316407, 347666, Sucesso, Inserção bem-sucedida.
316407, 883494, Sucesso, Inserção bem-sucedida.
316407, 3265697, Sucesso, Atualização bem-sucedida.
316407, 5145064, Sucesso, Inserção bem-sucedida.
316407, 5145140, Sucesso, Inserção bem-sucedida.
316407, 5145291, Sucesso, Inserção bem-sucedida.
316407, 5327009, Sucesso, Inserção bem-sucedida.
316407, 5327010, Sucesso, Inserção bem-sucedida.
316416, 316430, Sucesso, Inserção bem-sucedida.
316416, 316432, Sucesso, Inserção bem-sucedida.
316416, 883504, Sucesso, Inserção bem-sucedida.
316416, 3265697, Sucesso, Atualização bem-sucedida.
316416, 5144900, Sucesso, Inserção bem-sucedida.
316416, 5144911, Sucesso, Inserção bem-sucedida.
316436, 316437, Sucesso, Inserção bem-sucedida.
316436, 316438, Sucesso, Inserção bem-sucedida.
316436, 316439, Sucesso, Inserção bem-sucedida.
316436, 321586, Sucesso, Inserção bem-sucedida.
316436, 883519, Sucesso, Inserção bem-sucedida.
316436, 3265697, Sucesso, Atualização bem-sucedida.
316440, 316448, Sucesso, Inserção bem-sucedida.
316440, 316450, Sucesso, Inserção bem-sucedida.
316440, 316451, Sucesso, Inserção bem-sucedida.
316440, 316452, Sucesso, Inserção bem-sucedida.
316440, 3265697, Sucesso, Atualização bem-sucedida.
317512, 5265898, Sucesso, Inserção bem-sucedida.
317524, 317525, Sucesso, Inserção bem-sucedida.
317524, 317529, Sucesso, Inserção bem-sucedida.
317524, 317532, Sucesso, Inserção bem-sucedida.
317524, 747373, Sucesso, Inserção bem-sucedida.
317524, 2775576, Sucesso, Inserção bem-sucedida.
317803, 302211, Sucesso, Inserção bem-sucedida.
317803, 317856, Sucesso, Inserção bem-sucedida.
317803, 317869, Sucesso, Inserção bem-sucedida.
320423, 320430, Sucesso, Inserção bem-sucedida.
320423, 320440, Sucesso, Inserção bem-sucedida.
320423, 320446, Sucesso, Inserção bem-sucedida.
320423, 320456, Sucesso, Inserção bem-sucedida.
320423, 5373192, Sucesso, Inserção bem-sucedida.
320556, 320566, Sucesso, Inserção bem-sucedida.
320556, 320575, Sucesso, Inserção bem-sucedida.
320556, 320583, Sucesso, Inserção bem-sucedida.
320556, 320602, Sucesso, Inserção bem-sucedida.
320556, 320610, Sucesso, Inserção bem-sucedida.
320556, 5373202, Sucesso, Inserção bem-sucedida.
320752, 320759, Sucesso, Inserção bem-sucedida.
320752, 320764, Sucesso, Inserção bem-sucedida.
320752, 320771, Sucesso, Inserção bem-sucedida.
320752, 320777, Sucesso, Inserção bem-sucedida.
320752, 320782, Sucesso, Inserção bem-sucedida.
320752, 330494, Sucesso, Inserção bem-sucedida.
320752, 330503, Sucesso, Inserção bem-sucedida.
320752, 5373222, Sucesso, Inserção bem-sucedida.
320765, 320638, Sucesso, Inserção bem-sucedida.
320765, 320706, Sucesso, Inserção bem-sucedida.
320765, 1650870, Sucesso, Inserção bem-sucedida.
320889, 320894, Sucesso, Inserção bem-sucedida.
320889, 320897, Sucesso, Inserção bem-sucedida.
320889, 320900, Sucesso, Inserção bem-sucedida.
320889, 320904, Sucesso, Inserção bem-sucedida.
320889, 320906, Sucesso, Inserção bem-sucedida.
321250, 321255, Sucesso, Inserção bem-sucedida.
321250, 321257, Sucesso, Inserção bem-sucedida.
321250, 321266, Sucesso, Inserção bem-sucedida.
321250, 321289, Sucesso, Inserção bem-sucedida.
321250, 321295, Sucesso, Inserção bem-sucedida.
321362, 321364, Sucesso, Inserção bem-sucedida.
321362, 321368, Sucesso, Inserção bem-sucedida.
321362, 321376, Sucesso, Inserção bem-sucedida.
321362, 321379, Sucesso, Inserção bem-sucedida.
321362, 5373270, Sucesso, Inserção bem-sucedida.
321936, 321992, Sucesso, Inserção bem-sucedida.
321936, 322005, Sucesso, Inserção bem-sucedida.
321936, 322017, Sucesso, Inserção bem-sucedida.
321936, 322023, Sucesso, Inserção bem-sucedida.
322170, 322180, Sucesso, Inserção bem-sucedida.
322170, 322205, Sucesso, Inserção bem-sucedida.
322170, 322216, Sucesso, Inserção bem-sucedida.
322170, 322224, Sucesso, Inserção bem-sucedida.
322781, 322786, Sucesso, Inserção bem-sucedida.
322781, 322788, Sucesso, Inserção bem-sucedida.
322781, 322798, Sucesso, Inserção bem-sucedida.
322781, 322803, Sucesso, Inserção bem-sucedida.
322836, 322847, Sucesso, Inserção bem-sucedida.
322836, 322850, Sucesso, Inserção bem-sucedida.
322836, 322863, Sucesso, Inserção bem-sucedida.
322836, 322868, Sucesso, Inserção bem-sucedida.
322836, 322871, Sucesso, Inserção bem-sucedida.
322949, 322963, Sucesso, Inserção bem-sucedida.
322949, 322965, Sucesso, Inserção bem-sucedida.
322949, 322973, Sucesso, Inserção bem-sucedida.
322949, 322974, Sucesso, Inserção bem-sucedida.
323065, 323069, Sucesso, Inserção bem-sucedida.
323065, 323073, Sucesso, Inserção bem-sucedida.
323065, 323082, Sucesso, Inserção bem-sucedida.
323065, 323090, Sucesso, Inserção bem-sucedida.
323218, 323224, Sucesso, Inserção bem-sucedida.
323218, 323233, Sucesso, Inserção bem-sucedida.
323218, 323235, Sucesso, Inserção bem-sucedida.
323218, 323242, Sucesso, Inserção bem-sucedida.
323218, 323248, Sucesso, Inserção bem-sucedida.
323218, 5373368, Sucesso, Inserção bem-sucedida.
323511, 323637, Sucesso, Inserção bem-sucedida.
323511, 323658, Sucesso, Inserção bem-sucedida.
323511, 323665, Sucesso, Inserção bem-sucedida.
323511, 323667, Sucesso, Inserção bem-sucedida.
323511, 323675, Sucesso, Inserção bem-sucedida.
323708, 323710, Sucesso, Inserção bem-sucedida.
323708, 325028, Sucesso, Inserção bem-sucedida.
323708, 325030, Sucesso, Inserção bem-sucedida.
323708, 325032, Sucesso, Inserção bem-sucedida.
325035, 325036, Sucesso, Inserção bem-sucedida.
325035, 325038, Sucesso, Inserção bem-sucedida.
325035, 325045, Sucesso, Inserção bem-sucedida.
325035, 325050, Sucesso, Inserção bem-sucedida.
325035, 325052, Sucesso, Inserção bem-sucedida.
325064, 325065, Sucesso, Inserção bem-sucedida.
325064, 325066, Sucesso, Inserção bem-sucedida.
325064, 325067, Sucesso, Inserção bem-sucedida.
325064, 325069, Sucesso, Inserção bem-sucedida.
325226, 325230, Sucesso, Inserção bem-sucedida.
325226, 325232, Sucesso, Inserção bem-sucedida.
325226, 325236, Sucesso, Inserção bem-sucedida.
325226, 325240, Sucesso, Inserção bem-sucedida.
